Line	Reads	Reads_after_fastp	Reads_final	Coverage
A6140L111	17333370	17264884	10998445	11.2449
A6140L114	32791750	32702674	28005319	28.6517
A6140L117	18392744	18341400	12646637	12.9304
A6140L118	17038948	16998752	13466768	13.8328
A6140L138	16056806	16017756	13586785	13.93
A6140L139	17872144	17838402	12114946	12.5005
A6140L144	16631680	16599234	12502032	12.8342
A6140L146	17490362	17444786	13836009	14.1793
A6140L148	16675840	16637296	13481156	13.8508
A6140L149	17683864	17639638	13648723	14.0091
A6140L14	17759378	17708226	11997004	12.3292
A6140L151	24382680	24354766	19477721	20.0648
A6140L160	16603584	16577078	15158480	16.1241
A6140L163	15379192	15319254	9730541	10.0013
A6140L164	9216000	9197856	8328765	10.3019
A6140L165	11675320	11642716	9495663	9.75038
A6140L166	11279494	11246654	9662342	9.95361
A6140L177	16453290	16386654	9809222	10.095
A6140L178	11602840	11572634	8423987	8.64641
A6140L186	14326936	14286458	11827199	12.0808
A6140L187	13724820	13703940	9523753	9.81155
A6140L194	16529450	16480000	12560412	12.8878
A6140L196	18753882	18723218	15565809	15.9883
A6140L197	13453272	13419484	10974154	11.28
A6140L198	18467192	18427834	15070562	15.4823
A6140L199	20671226	20643538	16809594	17.2531
A6140L1	51835832	51648852	38475194	39.2808
A6140L207	13059264	13025738	11500699	11.844
A6140L210	10661948	10638948	9703731	10.1836
A6140L212	19182516	19153124	15582561	15.9939
A6140L215	18880112	18844068	15285877	15.7131
A6140L216	17079286	17047300	13436049	13.7777
A6140L224	18335086	18285356	13644033	14.0528
A6140L22	10370552	10323782	7276172	7.42603
A6140L232	15555370	15512092	12703347	13.043
A6140L235	13312078	13291846	12136952	15.1003
A6140L237	18381322	18350980	15693262	16.1381
A6140L242	16264792	16230706	13002556	13.419
A6140L243	10786660	10750410	9729907	11.0436
A6140L255	18778176	18737516	15380381	15.8033
A6140L256	16282318	16244344	13439696	13.7844
A6140L259	18218598	18191000	14891966	15.2854
A6140L260	20580850	20552630	17231012	17.7281
A6140L269	16825168	16782794	12011243	12.3639
A6140L275	20491438	20437114	15092767	15.5181
A6140L276	16627882	16594252	13891778	14.2525
A6140L277	17136548	17099574	14308603	14.6556
A6140L278	18011570	17986070	15709536	16.1425
A6140L285	18561860	18506890	8881205	9.15963
A6140L294	18123882	18077564	13319430	13.6978
A6140L298	16269990	16241694	12604323	12.9582
A6140L299	16590630	16563978	11926802	12.2745
A6140L2	15599896	15528280	5704983	5.91353
A6140L300	18006842	17967682	14862921	15.29
A6140L307	17116920	17074158	12865143	13.1776
A6140L308	13171196	13145838	10881544	11.1887
A6140L319	17408626	17380834	15256670	15.6597
A6140L322	17012944	16983570	14106736	14.4616
A6140L323	16055576	16028466	14704060	15.8099
A6140L327	12059252	12036572	11081565	13.8491
A6140L332	11866116	11847694	10750655	18.2743
A6140L333	11892230	11866892	10999308	16.4298
A6140L334	11676420	11655522	10723272	14.4043
A6140L335	19466676	19431884	14429476	14.8162
A6140L336	17561534	17535638	14059310	14.481
A6140L339	11731214	11707370	9378212	9.65201
A6140L341	18520070	18487904	14610875	14.9789
A6140L342	18014774	17982986	13780574	14.1375
A6140L343	20111346	20085806	18095292	18.5958
A6140L344	13027728	12993074	9453789	9.71221
A6140L345	17758296	17712190	14542430	14.9285
A6140L347	14571854	14550340	13168965	13.5163
A6140L348	18569922	18538908	16642899	17.1461
A6140L352	17258638	17214578	14618132	15.0083
A6140L354	17832820	17800086	14166801	14.5533
A6140L356	18895122	18869410	16908943	17.3594
A6140L358	17856626	17812356	14768759	15.1144
A6140L359	18260424	18219488	13283113	13.6217
A6140L360	19967756	19940234	16718875	17.203
A6140L363	11349060	11324622	10207549	10.4707
A6140L364	16215752	16175866	7426502	7.65133
A6140L366	20063942	20037740	17982827	18.4499
A6140L367	15791484	15762760	13024719	13.3741
A6140L369	17831696	17797036	14456206	14.8635
A6140L370	15459364	15426982	12008219	12.3676
A6140L4	20193374	20131820	12340733	12.6901
A6140L51	15940468	15902290	12090935	12.4374
A6140L53	2001144	1997128	1171160	1.78573
A6140L76	17096000	17024678	9730355	9.96954
A6140L93	16480192	16418956	9175223	9.42936
CA1100L101	53938930	53616968	12730049	12.9502
CA1100L113	33163160	33012800	22786122	23.1268
CA1100L114	37004676	36788328	22336983	22.9803
CA1100L117	36432880	36271632	23449800	23.8296
CA1100L118	36104228	35862580	4394827	4.87995
CA1100L11	59387778	59086488	29846524	30.4299
CA1100L120	66986362	66636198	22960486	23.4121
CA1100L15	50277940	50075876	39468034	39.8551
CA1100L17	59243124	58993186	51437298	52.4297
CA1100L18	67668310	67288394	20986497	21.617
CA1100L19	53979540	53659354	12667939	12.908
CA1100L23	37717640	37575776	24778033	25.3256
CA1100L25	61380252	60994482	2614816	3.7083
CA1100L29	33214416	33024026	27861538	28.5293
CA1100L2	52398388	52160576	14301023	14.1384
CA1100L30	29504200	29379020	26933988	27.9713
CA1100L31	26018340	25897658	23825485	28.4123
CA1100L34	33059780	32844196	25516759	26.0621
CA1100L35	36992782	36872184	32639475	33.0429
CA1100L38	37132562	36989902	20626604	21.1922
CA1100L39	34981488	34786066	5447898	5.59234
CA1100L3	30502436	30394802	22359813	22.8265
CA1100L40	36540378	36398878	32890106	37.9838
CA1100L41	31414724	31232514	9565832	9.72787
CA1100L44 NA	NA	20782097 20.9986
CA1100L45	40587446	40290050	7973922	7.45033
CA1100L50	54740410	54508042	42338863	43.3071
CA1100L52	33281434	33030596	19013313	19.5612
CA1100L53	36455854	36284706	13882653	14.6403
CA1100L55	36759776	36526696	5001166	5.29318
CA1100L59	37018090	36785902	6272777	6.59527
CA1100L60	41092366	40787442	7647704	6.99643
CA1100L62	43844938	43523114	5261259	5.86863
CA1100L65	32952386	32787482	23357901	23.6872
CA1100L67	52702250	52323156	3763187	4.78973
CA1100L6	61470944	61262498	53849603	54.7973
CA1100L71	31649678	31213008	7952471	7.23135
CA1100L73	58042104	57833078	49941669	50.856
CA1100L76	37529636	37355222	11381301	10.8624
CA1100L77	10568664	10550446	9268620	9.53203
CA1100L80	31593096	31433276	24059642	24.5785
CA1100L83	36395884	36210904	25049087	25.5711
CA1100L84	55846530	55519600	15228885	15.5773
CA1100L86	36205874	36069992	28710723	29.4464
CA1100L87	33107428	32935086	21771039	22.2909
CA1100L8	35936196	35761326	21966248	22.5706
CA1100L95	36446082	36276932	22742643	23.3301
CA1100L97	38018100	37814826	7432939	8.48452
CA150L11	36854536	36731110	26147903	26.8577
CA150L12	4713756	4491378	2791295	4.55625
CA150L17	4721736	4501858	3106066	4.98199
CA150L19	3615042	3554730	3038507	5.13772
CA150L20	37317998	37244832	33383588	34.2513
CA150L25	33131614	33020590	25810978	26.3996
CA150L30	32564138	32495376	26989206	27.6779
CA150L37	38290004	38187160	34476595	35.3877
CA150L38	33234154	33155280	21918148	22.5226
CA150L4	36756224	36623156	28240534	28.8572
CA150L50	36628304	36486134	25852649	26.474
CA150L6	32921600	32745488	26259887	26.9804
CA150L9	36920024	36800090	31692098	32.4777
CA2100L103	57901454	57701704	45818607	46.732
CA2100L106	62525492	62375074	54231000	55.4563
CA2100L109	32682138	32583588	27078761	27.642
CA2100L10	29478586	29366914	18348816	18.8697
CA2100L115	58655306	58446954	48366346	49.5025
CA2100L119	32867898	32767606	25557578	25.9195
CA2100L11	33732978	33658616	24532302	25.1632
CA2100L120	33260092	33162634	22693852	23.3309
CA2100L15	11231352	11182498	9329547	9.61511
CA2100L16	30220880	30149946	20385797	20.9071
CA2100L17	33760720	33654324	14700470	15.0748
CA2100L18	23258220	23198604	20923587	24.3483
CA2100L19	31078850	30997210	26971539	27.478
CA2100L20	33713030	33652708	22758717	23.3269
CA2100L23	36803892	36437200	5923483	6.21379
CA2100L2	20937494	20849692	18416129	36.5271
CA2100L30	36365410	36107984	4956756	5.55039
CA2100L31	55026472	54792840	8007111	8.04748
CA2100L32	52574244	52258256	18921659	18.4722
CA2100L33	61179104	60985554	46606631	47.6014
CA2100L35	36758080	36611468	30759131	31.4781
CA2100L36	50911886	50722788	32028778	32.7067
CA2100L38	36333830	36111140	16602792	16.9094
CA2100L41	68290694	68043904	12692768	13.2266
CA2100L42	56490026	56234762	11631758	11.9692
CA2100L43	36524182	36365908	28641323	29.3266
CA2100L44	36511992	36361166	29721953	30.4749
CA2100L46	32811554	32731584	23385793	24.0133
CA2100L47	47187844	46909472	2886399	3.57348
CA2100L49	57016418	56749826	22362787	22.7929
CA2100L52	36510814	36261938	14004971	14.3753
CA2100L5	84469004	84268144	57573883	58.8322
CA2100L69	30171206	29955344	3726554	4.17635
CA2100L6	31767842	31548156	7256294	7.53975
CA2100L77	36609224	36406716	23281383	23.8909
CA2100L7	29755054	29686588	21171426	21.7149
CA2100L81	54946630	54730052	5808799	6.45127
CA2100L82	61546808	61352564	52106357	53.4179
CA2100L87	36776366	36625676	32383168	33.1375
CA2100L88	37338868	37236814	30798014	31.4129
CA2100L89	52051756	51797678	38001339	38.2746
CA2100L90	32207554	32130412	20269090	20.7916
CA2100L96	21996412	21943498	20120142	26.3271
CA2100L99	32288230	32169668	23920741	24.5284
CA250L15	4691282	4510420	3862212	6.09642
CA250L18	4488108	4295386	2554993	4.27082
CA250L1	4691710	4537928	3887421	6.11119
CA250L25	38418998	38319526	34395589	35.2615
CA250L26	36568570	36400342	9917079	10.1836
CA250L2	3394236	3341152	3213950	5.27604
CA250L33	33201528	33039352	25553343	26.2212
CA250L36	30966134	30789596	24148743	24.6892
CA250L38	25277524	25147946	12839461	13.1471
CA250L49	36906570	36774254	32833278	33.6026
CA250L4	35902912	35809566	30277553	30.9946
CA250L51	36674510	36537372	33234554	34.0666
CA250L7	36538378	36405926	25401839	26.1196
CA3100L100	11570532	11531152	10816014	26.2884
CA3100L101	23537332	23499554	21379515	23.0057
CA3100L102	34280692	34181648	27069277	27.4507
CA3100L103	36474918	36331174	21332312	21.9063
CA3100L106	33910452	33784246	27297747	27.961
CA3100L107	33662604	33539688	28151151	28.4699
CA3100L108	33884310	33696312	27443771	27.8257
CA3100L109	33919044	33758084	26190536	26.541
CA3100L110	49120654	48887814	17045258	17.6059
CA3100L112	46372900	46141330	21577256	22.3562
CA3100L115	53965488	53739328	33270750	33.7609
CA3100L117	33922506	33772918	22707212	23.1749
CA3100L119	33814300	33693634	27155789	27.78
CA3100L11	29714374	29622180	27429988	29.8359
CA3100L120	68157644	67925364	59060265	60.331
CA3100L14	19943246	19845746	9313075	9.76967
CA3100L19	54641510	54455560	35488330	35.7972
CA3100L26	34062402	33871602	21853463	22.252
CA3100L28	33699866	33616690	28939588	29.2909
CA3100L29	37498370	37413648	31467798	31.8602
CA3100L2	55887762	55638948	7758926	8.42356
CA3100L30	37006016	36906938	29763908	30.0953
CA3100L31	37037768	36942938	31063602	31.6635
CA3100L32	37040352	36963492	31851895	32.2613
CA3100L33	33537760	33433098	24191333	24.5896
CA3100L36	36965606	36876980	30887109	31.3399
CA3100L37	36234718	36124792	29983229	30.4279
CA3100L39	65816732	65575210	55604861	56.0305
CA3100L3	34060790	33918896	20530031	20.7961
CA3100L40	48023614	47845892	39890297	40.3111
CA3100L44	34393768	34281860	22262464	22.5904
CA3100L45	34335728	34219432	20269510	20.6731
CA3100L48	52670580	52478092	44725799	45.7328
CA3100L4	33952688	33834358	27805490	28.3608
CA3100L54	55318918	55084694	35329811	35.878
CA3100L59	61974946	61762062	54085825	55.2546
CA3100L5	49952948	49768422	36590578	36.8676
CA3100L63	44342434	44176032	6114156	6.40646
CA3100L69	56593880	56402042	48873434	49.3966
CA3100L74	12863876	12830622	11921721	49.15
CA3100L7	33895120	33726378	21513640	21.8914
CA3100L83	30354956	30271014	25471710	25.9122
CA3100L84	53690190	53469004	31980919	32.3876
CA3100L85	59188702	58961078	48029275	48.5462
CA3100L86	52279984	52083026	43542831	44.097
CA3100L92	53097258	52887910	42764460	43.214
CA3100L96	32122964	31993070	14937095	15.215
CA3100L97	53340638	53166036	45314482	46.2977
CA3100L98	32125552	31981016	19856901	20.1512
CA3100L99	32120042	32006640	20762081	21.141
CA350L12	4690898	4501540	4003923	6.27734
CA350L14	4711222	4498164	4017784	6.2739
CA350L15	4703284	4478052	3610385	5.68056
CA350L24	36821224	36698496	29072198	29.7479
CA350L25	36519858	36399200	28249311	28.8389
CA350L26	36833874	36718976	31040366	31.7602
CA350L35	36920802	36795026	28801238	29.4981
CA350L44	36495736	36371220	30508059	31.2682
CA350L48	36468266	36344318	25446571	26.0351
CA350L50	36131814	36007012	24509185	25.1023
CA350L7	26302850	26219424	24012834	29.2108
GA150L56	10922126	10891200	9999511	21.9749
GA250L55	36675812	36562356	26348105	26.9445
GA450L35	36629050	36509112	29669607	30.4477
A6140L213
A6140L330
CA3100L12
CA3100L8